,Encoder,Experiment,Generator,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
113,OpenClip,ADM,DDPM,0.7639999985694885,0.9150785207748413,0.7973816394805908,0.820988655090332,0.5911871790885925,0.4375963807106018,0.0,0.8517276048660278,0.20261836051940918,0.08492147922515869
114,OpenClip,ADM,ADM,0.7720000147819519,0.9096761345863342,0.810165524482727,0.799882173538208,0.5065403580665588,0.3971159756183624,0.0,0.8568094372749329,0.18983447551727295,0.09032386541366577
115,OpenClip,ADM,ProjectedGAN,0.7459999918937683,0.8876594305038452,0.8006150722503662,0.7953526377677917,0.5838013291358948,0.47609201073646545,0.0,0.8415791988372803,0.1993849277496338,0.11234056949615479
116,OpenClip,ADM,StyleGAN,0.7440000176429749,0.8767594695091248,0.799528181552887,0.7995896339416504,0.575293779373169,0.42385101318359375,0.0,0.8359891772270203,0.20047181844711304,0.12324053049087524
117,OpenClip,ADM,PNDM,0.7419999837875366,0.8860992193222046,0.7892411351203918,0.8100682497024536,0.5545185804367065,0.5048527121543884,0.0,0.8343914747238159,0.21075886487960815,0.11390078067779541
118,OpenClip,ADM,coco,0.6620000004768372,0.8388822078704834,0.7368384599685669,0.4825301468372345,0.0922691822052002,0.05012860894203186,0.0,0.7839316725730896,0.2631615400314331,0.1611177921295166
119,OpenClip,ADM,Diff-StyleGAN2,0.765999972820282,0.9038909673690796,0.8093301057815552,0.8208719491958618,0.5973539352416992,0.4808018207550049,0.0,0.8535777926445007,0.19066989421844482,0.09610903263092041
120,OpenClip,ADM,ProGAN,0.7450000047683716,0.8829821348190308,0.7986539602279663,0.8326840996742249,0.7105244398117065,0.6131627559661865,0.0,0.8373600244522095,0.2013460397720337,0.11701786518096924
121,DinoV2,IDDPM,DDPM,0.7559999823570251,0.7044208645820618,0.9631014466285706,0.8461264967918396,0.7037681341171265,0.6769871115684509,0.0,0.812904417514801,0.03689855337142944,0.29557913541793823
122,DinoV2,IDDPM,ProjectedGAN,0.7590000033378601,0.7156804203987122,0.9485501646995544,0.846821665763855,0.7129043936729431,0.6929031014442444,0.0,0.8154298663139343,0.05144983530044556,0.28431957960128784
123,DinoV2,IDDPM,Diff-StyleGAN2,0.7710000276565552,0.7223300337791443,0.9539623856544495,0.8486121296882629,0.7191449999809265,0.7011454701423645,0.0,0.8213695287704468,0.04603761434555054,0.2776699662208557
124,DinoV2,IDDPM,StyleGAN,0.7559999823570251,0.7095168828964233,0.9469983577728271,0.840726912021637,0.6844122409820557,0.6649917364120483,0.0,0.8107087016105652,0.05300164222717285,0.29048311710357666
125,DinoV2,IDDPM,coco,0.3840000033378601,0.27544906735420227,0.7237199544906616,0.50844407081604,0.07776284962892532,0.036296144127845764,0.0,0.39705902338027954,0.2762800455093384,0.7245509326457977
126,DinoV2,IDDPM,ProGAN,0.7680000066757202,0.7188160419464111,0.9598422646522522,0.8459556102752686,0.7226158380508423,0.7113435864448547,0.0,0.8215051293373108,0.0401577353477478,0.28118395805358887
127,DinoV2,IDDPM,ADM,0.6880000233650208,0.6210512518882751,0.9409283995628357,0.8021725416183472,0.5730838179588318,0.4821232259273529,0.0,0.7468562126159668,0.05907160043716431,0.37894874811172485
128,DinoV2,IDDPM,Diff-ProjectedGAN,0.7689999938011169,0.7188130021095276,0.9661905765533447,0.8462949395179749,0.7161178588867188,0.6947077512741089,0.0,0.8225943446159363,0.03380942344665527,0.2811869978904724
129,DinoV2,IDDPM,IDDPM,0.7739999890327454,0.7165011167526245,0.978928804397583,0.8469868302345276,0.721870481967926,0.7052250504493713,0.0,0.8265163898468018,0.021071195602416992,0.2834988832473755
130,DinoV2,IDDPM,LDM,0.7680000066757202,0.7140640020370483,0.9671962261199951,0.8377924561500549,0.7156071662902832,0.6759175062179565,0.0,0.8207846283912659,0.03280377388000488,0.28593599796295166
131,DinoV2,IDDPM,PNDM,0.7599999904632568,0.7142239212989807,0.9612411260604858,0.8456202149391174,0.7076765894889832,0.6770066022872925,0.0,0.8186584711074829,0.03875887393951416,0.2857760787010193
132,DinoV2,Diff-ProjectedGAN,DDPM,0.6520000100135803,0.5524119138717651,0.9887060523033142,0.8246710896492004,0.6576183438301086,0.5529245734214783,0.0,0.7074037194252014,0.011293947696685791,0.44758808612823486
133,DinoV2,Diff-ProjectedGAN,ProjectedGAN,0.7770000100135803,0.7016278505325317,0.9942828416824341,0.8297644853591919,0.7167546153068542,0.7098793983459473,0.0,0.8220042586326599,0.005717158317565918,0.29837214946746826
134,DinoV2,Diff-ProjectedGAN,Diff-StyleGAN2,0.7239999771118164,0.6426341533660889,0.9940218925476074,0.8451542854309082,0.6978083848953247,0.656666100025177,0.0,0.7797906398773193,0.005978107452392578,0.35736584663391113
135,DinoV2,Diff-ProjectedGAN,StyleGAN,0.5440000295639038,0.4005330204963684,0.9840328097343445,0.8118740320205688,0.6182206273078918,0.4476010203361511,0.0,0.5680498480796814,0.015967190265655518,0.5994669795036316
136,DinoV2,Diff-ProjectedGAN,coco,0.42500001192092896,0.30296051502227783,0.7728318572044373,0.524178683757782,0.1049090176820755,0.06441360712051392,0.0,0.43388843536376953,0.22716814279556274,0.6970394849777222
137,DinoV2,Diff-ProjectedGAN,ProGAN,0.777999997138977,0.7002847790718079,0.9977930784225464,0.8533239960670471,0.7224373817443848,0.7083260416984558,0.0,0.8224654197692871,0.0022069215774536133,0.29971522092819214
138,DinoV2,Diff-ProjectedGAN,ADM,0.4169999957084656,0.2044782042503357,0.9946666955947876,0.7616031765937805,0.46373218297958374,0.38617420196533203,0.0,0.33772167563438416,0.005333304405212402,0.7955217957496643
139,DinoV2,Diff-ProjectedGAN,Diff-ProjectedGAN,0.781000018119812,0.710659921169281,0.9890235662460327,0.8632978796958923,0.7381142377853394,0.7178033590316772,0.0,0.8255925178527832,0.010976433753967285,0.289340078830719
140,DinoV2,Diff-ProjectedGAN,IDDPM,0.6060000061988831,0.47632941603660583,0.9898279309272766,0.8409078121185303,0.6589974761009216,0.5688160061836243,0.0,0.641101598739624,0.010172069072723389,0.5236705839633942
141,DinoV2,Diff-ProjectedGAN,LDM,0.628000020980835,0.5088515877723694,0.9918303489685059,0.812985360622406,0.6437786817550659,0.5771379470825195,0.0,0.6706309914588928,0.00816965103149414,0.4911484122276306
142,DinoV2,Diff-ProjectedGAN,PNDM,0.7009999752044678,0.6086365580558777,0.9955797791481018,0.8513534665107727,0.701540470123291,0.6655949354171753,0.0,0.7544369697570801,0.004420220851898193,0.3913634419441223
143,DinoV2,LDM,DDPM,0.7620000243186951,0.7111520767211914,0.9607571959495544,0.8426946997642517,0.711264967918396,0.6906182169914246,0.0,0.816051721572876,0.03924280405044556,0.2888479232788086
144,DinoV2,LDM,ProjectedGAN,0.7590000033378601,0.7170999646186829,0.9462887048721313,0.8416549563407898,0.7103597521781921,0.6996555924415588,0.0,0.8150458931922913,0.05371129512786865,0.28290003538131714
145,DinoV2,LDM,Diff-StyleGAN2,0.7609999775886536,0.7123520970344543,0.9585314989089966,0.8459715247154236,0.7069290280342102,0.6759887337684631,0.0,0.8161653280258179,0.04146850109100342,0.28764790296554565
146,DinoV2,LDM,StyleGAN,0.7689999938011169,0.7263344526290894,0.9423520565032959,0.8410559296607971,0.6850281953811646,0.5727003216743469,0.0,0.8195890784263611,0.0576479434967041,0.27366554737091064
147,DinoV2,LDM,coco,0.47200000286102295,0.419778048992157,0.7569623589515686,0.5496809482574463,0.13881263136863708,0.06471198052167892,0.0,0.5380047559738159,0.2430376410484314,0.580221951007843
148,DinoV2,LDM,ProGAN,0.7590000033378601,0.7080649733543396,0.9658358097076416,0.8417494893074036,0.7164886593818665,0.6925049424171448,0.0,0.8163752555847168,0.0341641902923584,0.2919350266456604
149,DinoV2,LDM,ADM,0.6940000057220459,0.6187209486961365,0.9630343914031982,0.8045233488082886,0.6068716645240784,0.5061919093132019,0.0,0.7523860335350037,0.03696560859680176,0.3812790513038635
150,DinoV2,LDM,Diff-ProjectedGAN,0.746999979019165,0.6953351497650146,0.9654068946838379,0.8288384079933167,0.6912668943405151,0.6823557615280151,0.0,0.8079952001571655,0.03459310531616211,0.30466485023498535
