,Encoder,Experiment,Generator,Number,test_acc,test_recall,test_precision,test_roc_auc,test_pd_10,test_pd_05,test_pd_01,test_f1,tendency_to_overclassify_positive,tendency_to_overclassify_negative
125,DinoV2,IDDPM,Diff-ProjectedGAN,no,0.9700000286102295,0.9979682564735413,0.9471608996391296,0.9994049668312073,0.9979682564735413,0.9979682564735413,0.8805881142616272,0.9717095494270325,0.05283910036087036,0.0020317435264587402
126,DinoV2,IDDPM,DDPM,no,0.968999981880188,0.9959365129470825,0.9470087885856628,0.9992445707321167,0.9979682564735413,0.9959365129470825,0.876888632774353,0.9708355665206909,0.05299121141433716,0.0040634870529174805
127,DinoV2,IDDPM,ADM,no,0.8600000143051147,0.8140409588813782,0.9038565158843994,0.9437267184257507,0.8141774535179138,0.6691080927848816,0.3801659941673279,0.8554412722587585,0.09614348411560059,0.18595904111862183
128,DinoV2,IDDPM,ProjectedGAN,no,0.9620000123977661,1.0,0.930730938911438,0.9996482133865356,1.0,0.9979682564735413,0.8824378848075867,0.9640382528305054,0.06926906108856201,0.0
129,DinoV2,IDDPM,StyleGAN,no,0.9269999861717224,0.9546315670013428,0.9099003672599792,0.9793903231620789,0.9427592754364014,0.8315268158912659,0.558978796005249,0.9310559034347534,0.09009963274002075,0.04536843299865723
130,DinoV2,IDDPM,Diff-StyleGAN2,no,0.972000002861023,0.9959990382194519,0.9510025382041931,0.9986607432365417,0.9959990382194519,0.9959990382194519,0.8649764657020569,0.972862958908081,0.048997461795806885,0.004000961780548096
131,DinoV2,IDDPM,coco,no,0.5320000052452087,0.2217458188533783,0.5270115733146667,0.5757648348808289,0.11788544803857803,0.07199686020612717,0.027522379532456398,0.3113518953323364,0.47298842668533325,0.7782541811466217
132,DinoV2,Diff-ProjectedGAN,LDM,no,0.8930000066757202,0.8044597506523132,0.9834217429161072,0.9752788543701172,0.9240046143531799,0.8856835961341858,0.6632907390594482,0.8840363621711731,0.016578257083892822,0.19554024934768677
133,DinoV2,Diff-ProjectedGAN,IDDPM,no,0.8949999809265137,0.8186390995979309,0.9715915322303772,0.978318452835083,0.9339339733123779,0.8854415416717529,0.5622981190681458,0.8882473707199097,0.028408467769622803,0.1813609004020691
134,DinoV2,Diff-ProjectedGAN,ProGAN,no,0.9980000257492065,1.0,0.9957931041717529,1.0,1.0,1.0,0.8960000276565552,0.9978790879249573,0.00420689582824707,0.0
135,DinoV2,Diff-ProjectedGAN,PNDM,no,0.9700000286102295,0.9616630673408508,0.9796363711357117,0.9949342012405396,0.9864667654037476,0.9803947806358337,0.8243567943572998,0.9701879024505615,0.02036362886428833,0.03833693265914917
136,DinoV2,Diff-ProjectedGAN,Diff-ProjectedGAN,no,0.9919999837875366,0.9980307817459106,0.9865890145301819,0.9997499585151672,1.0,0.9980307817459106,0.8841846585273743,0.9922508597373962,0.013410985469818115,0.0019692182540893555
